Date,Ticker Symbol,Close,Open,Volume
7-6-2012,GS,94.0000,96.6400,6069500
8-6-2012,GS,94.5400,93.6300,3370800
11-6-2012,GS,92.8000,96.0100,4942100
12-6-2012,GS,94.0400,92.9100,3668700
13-6-2012,GS,92.7200,93.3200,4694600
14-6-2012,GS,93.8200,92.9400,4461300
15-6-2012,GS,95.6600,93.6800,6186900
18-6-2012,GS,93.6300,95.2400,4085800
19-6-2012,GS,96.3700,94.3000,5296900
20-6-2012,GS,96.5500,97.0100,4942500
21-6-2012,GS,93.9000,96.8000,5579300
22-6-2012,GS,93.6300,95.3200,6727600
25-6-2012,GS,91.2200,92.3600,4211300
26-6-2012,GS,91.0300,91.4900,4251200
27-6-2012,GS,93.2700,91.1900,3576900
28-6-2012,GS,93.4900,92.0900,4413700
29-6-2012,GS,95.8600,96.0100,6246300
2-7-2012,GS,97.1300,96.5600,3515900
3-7-2012,GS,98.6000,97.1300,2255400
5-7-2012,GS,95.9200,98.2100,3736800
6-7-2012,GS,95.4700,94.6400,3321400
9-7-2012,GS,94.4700,94.8400,4121300
10-7-2012,GS,94.2500,94.8600,3668600
11-7-2012,GS,95.1300,93.8800,4516600
12-7-2012,GS,94.0200,94.3400,3187000
13-7-2012,GS,97.4300,94.9200,4592400
16-7-2012,GS,97.6800,97.7300,4505300
17-7-2012,GS,97.9800,100.2400,9502800
18-7-2012,GS,96.5100,97.3500,4443100
19-7-2012,GS,95.0000,96.6000,6165700
20-7-2012,GS,94.1600,94.4700,5549100
23-7-2012,GS,93.1600,91.9400,4762100
24-7-2012,GS,94.4700,93.3800,5303700
25-7-2012,GS,95.9600,95.0600,4578900
26-7-2012,GS,98.0600,97.4400,5077500
27-7-2012,GS,101.6400,98.4100,6397900
30-7-2012,GS,100.8800,101.1500,3660000
31-7-2012,GS,100.9000,100.2600,3663900
1-8-2012,GS,100.0900,101.2700,3092800
2-8-2012,GS,97.8100,98.5000,3980500
3-8-2012,GS,100.9800,99.3470,3283100
6-8-2012,GS,102.0200,101.2500,2768600
7-8-2012,GS,103.2400,102.3800,3845400
8-8-2012,GS,102.5000,102.5000,2351000
9-8-2012,GS,103.6000,102.4100,2855100
10-8-2012,GS,103.0200,103.3700,3128500
13-8-2012,GS,103.6100,102.5500,2008600
14-8-2012,GS,103.2600,104.1500,3148200
15-8-2012,GS,103.1300,103.3500,2452600
16-8-2012,GS,103.4900,103.2600,2417800
17-8-2012,GS,103.6000,103.8100,2509600
20-8-2012,GS,105.2800,103.3200,3860800
21-8-2012,GS,105.3200,105.6900,4459700
22-8-2012,GS,104.6700,104.7700,4202400
23-8-2012,GS,104.0800,104.5900,3583300
24-8-2012,GS,104.9600,103.5600,3527100
27-8-2012,GS,105.1200,105.1200,2467100
28-8-2012,GS,105.0300,104.4600,2611100
29-8-2012,GS,105.5300,105.3600,2268700
30-8-2012,GS,104.7200,104.7400,2824000
31-8-2012,GS,105.7200,105.4100,3265400
4-9-2012,GS,106.4100,105.5500,3249900
5-9-2012,GS,109.9400,106.9000,6374400
6-9-2012,GS,113.5400,110.6100,6522100
7-9-2012,GS,116.3300,113.8000,6137700
10-9-2012,GS,114.6800,116.0600,4225300
