Date,Close,Open,Volume,sma_10,ema,rsi,mom,next_day_close
05-12-2016,27.2775,27.5,34324740,27.715,27.56225278,30.30127369,-0.1975,27.4875
06-12-2016,27.4875,27.375,26195462,27.6705,27.54866136,46.40435054,0.21,27.7575
07-12-2016,27.7575,27.315,29998773,27.65125,27.58663202,60.91650517,0.27,28.03
08-12-2016,28.03,27.715,27168316,27.6735,27.66724438,70.86795038,0.2725,28.4875
09-12-2016,28.4875,28.0775,34402627,27.7275,27.81638177,81.01344981,0.4575,28.325
12-12-2016,28.325,28.3225,26374494,27.77075,27.90885781,70.16440471,-0.1625,28.7975
13-12-2016,28.7975,28.46,43733811,27.864,28.07042912,79.93214046,0.4725,28.7975
14-12-2016,28.7975,28.76,34031834,27.98075,28.20262382,79.93214046,0,28.955
15-12-2016,28.955,28.845,46904738,28.139,28.33941949,82.8555032,0.1575,28.9925
16-12-2016,28.9925,29.1175,44351140,28.29075,28.4581614,83.56792121,0.0375,29.16
19-12-2016,29.16,28.95,28779423,28.479,28.58576842,86.6623646,0.1675,29.2375
20-12-2016,29.2375,29.185,21424965,28.654,28.70426507,87.97235344,0.0775,29.265
21-12-2016,29.265,29.2,24286968,28.80475,28.80621688,88.47445462,0.0275,29.0725
22-12-2016,29.0725,29.0875,26085863,28.909,28.85463199,64.80344697,-0.1925,29.13
23-12-2016,29.13,28.8975,14249484,28.97325,28.9046989,68.00009395,0.0575,29.315
27-12-2016,29.315,29.13,18296855,29.07225,28.9792991,76.56140126,0.185,29.19
28-12-2016,29.19,29.38,20905892,29.1115,29.01760836,62.44994746,-0.125,29.1825
29-12-2016,29.1825,29.1125,15039519,29.15,29.04758865,61.59843149,-0.0075,28.955
30-12-2016,28.955,29.1625,30588285,29.15,29.03075435,40.60541558,-0.2275,29.0375
03-01-2017,29.0375,28.95,28768565,29.1545,29.03198083,48.55320048,0.0825,29.005
04-01-2017,29.005,28.9625,21118116,29.139,29.02707523,45.55166852,-0.0325,29.1525
05-01-2017,29.1525,28.98,22193587,29.1305,29.04987973,59.68899788,0.1475,29.4775
06-01-2017,29.4775,29.195,31751900,29.15175,29.12762887,76.49680505,0.325,29.7475
09-01-2017,29.7475,29.4875,33561948,29.21925,29.24033271,83.59849353,0.27,29.7775
10-01-2017,29.7775,29.6925,24462705,29.284,29.33799949,84.25908388,0.03,29.9375
11-01-2017,29.9375,29.685,27588593,29.34625,29.44699958,87.59099969,0.16,29.8125
12-01-2017,29.8125,29.7237,27086220,29.4085,29.51345421,72.58654594,-0.125,29.76
13-01-2017,29.76,29.7775,26111955,29.46625,29.55828071,66.59724325,-0.0525,30
17-01-2017,30,29.585,34441283,29.57075,29.63859331,77.30020574,0.24,29.9975
18-01-2017,29.9975,30,23712961,29.66675,29.70384907,76.97903724,-0.0025,29.945
19-01-2017,29.945,29.85,25597306,29.76075,29.7476947,69.40900979,-0.0525,30
20-01-2017,30,30.1125,32617453,29.8455,29.79356839,72.89899634,0.055,30.02
23-01-2017,30.02,30,22050218,29.89975,29.83473777,74.23508784,0.02,29.9925
24-01-2017,29.9925,29.8875,23211038,29.92425,29.86342181,68.43614193,-0.0275,30.47
25-01-2017,30.47,30.105,32586863,29.9935,29.97370876,88.29004254,0.4775,30.485
26-01-2017,30.485,30.4175,26337576,30.04825,30.0666708,88.57229814,0.015,30.4875
27-01-2017,30.4875,30.535,20566114,30.11575,30.1431852,88.62939727,0.0025,30.4075
30-01-2017,30.4075,30.2325,30379153,30.1805,30.19124244,73.86631572,-0.08,30.3375
31-01-2017,30.3375,30.2875,49200993,30.21425,30.21783472,62.48276984,-0.07,32.1875
01-02-2017,32.1875,31.7575,111985591,30.43325,30.57595568,93.84068572,1.85,32.1325
02-02-2017,32.1325,31.9937,33794432,30.652,30.85896374,91.01369651,-0.055,32.27
03-02-2017,32.27,32.0775,24707301,30.879,31.11551579,91.78689398,0.1375,32.5725
06-02-2017,32.5725,32.2825,27095924,31.13425,31.38042201,93.35839622,0.3025,32.8825
07-02-2017,32.8825,32.635,38183916,31.42325,31.6535271,94.66583255,0.31,33.01
08-02-2017,33.01,32.8375,23863263,31.67725,31.90015853,95.1560674,0.1275,33.105
09-02-2017,33.105,32.9125,28349959,31.93925,32.11922062,95.53800308,0.095,33.03
10-02-2017,33.03,33.115,20066343,32.1935,32.28481687,88.64079311,-0.075,33.3225
13-02-2017,33.3225,33.27,23035671,32.485,32.47348653,91.59786339,0.2925,33.755
14-02-2017,33.755,33.3675,33311248,32.82675,32.70648898,94.32730295,0.4325,33.8775
15-02-2017,33.8775,33.88,35623100,32.99575,32.91940007,94.91243478,0.1225,33.8363
16-02-2017,33.8363,33.9175,22575255,33.16613,33.08610915,90.96765928,-0.0412,33.93
17-02-2017,33.93,33.775,22198233,33.33213,33.23954385,91.92210212,0.0937,34.175
